Transmission Line And Free Space Method 15.1.16021801
Agilent Technologies,N5230C,MY49000690,A.09.42.22

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Mu and Epsilon
Sample Holder Type:, Waveguide
Cutoff Frequency:, 6.560010 GHz
Sample Holder Length:, 9.700000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 2.300000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Friday, January 01, 1988 03:02:12"
frequency(GHz),e',e'',u',u''
         8.3680,   3.8881,   0.1083,   1.0328,  -0.0042
         8.3706,   3.8830,   0.1097,   1.0423,  -0.0039
         8.3732,   3.8749,   0.1024,   1.0516,   0.0130
         8.3759,   3.8830,   0.1036,   1.0364,   0.0082
         8.3785,   3.8817,   0.1024,   1.0375,   0.0191
         8.3811,   3.8794,   0.1081,   1.0407,   0.0050
         8.3837,   3.8779,   0.1102,   1.0463,   0.0090
         8.3864,   3.8789,   0.1135,   1.0427,   0.0043
         8.3890,   3.8840,   0.1086,   1.0436,  -0.0005
         8.3916,   3.8827,   0.1057,   1.0483,   0.0118
         8.3942,   3.8729,   0.1023,   1.0445,   0.0095
         8.3969,   3.8772,   0.1005,   1.0442,   0.0010
         8.3995,   3.8745,   0.1027,   1.0409,   0.0093
         8.4021,   3.8833,   0.1020,   1.0458,   0.0066
         8.4047,   3.8773,   0.1037,   1.0416,   0.0093
         8.4074,   3.8766,   0.1026,   1.0386,   0.0008
         8.4100,   3.8793,   0.1027,   1.0446,   0.0098
         8.4126,   3.8755,   0.1010,   1.0470,   0.0038
         8.4152,   3.8816,   0.1025,   1.0511,   0.0107
         8.4179,   3.8811,   0.0999,   1.0459,   0.0070
         8.4205,   3.8839,   0.0989,   1.0438,   0.0056
         8.4231,   3.8804,   0.1036,   1.0464,  -0.0005
         8.4257,   3.8786,   0.1034,   1.0428,   0.0019
         8.4284,   3.8767,   0.1002,   1.0488,   0.0036
         8.4310,   3.8777,   0.1020,   1.0469,   0.0138
         8.4336,   3.8834,   0.1005,   1.0382,   0.0136
         8.4362,   3.8781,   0.1012,   1.0398,   0.0188
         8.4389,   3.8803,   0.1016,   1.0492,   0.0082
         8.4415,   3.8841,   0.1019,   1.0406,   0.0050
         8.4441,   3.8805,   0.1028,   1.0379,   0.0089
         8.4467,   3.8803,   0.0993,   1.0405,   0.0124
         8.4494,   3.8787,   0.1014,   1.0510,   0.0090
         8.4520,   3.8838,   0.0971,   1.0334,   0.0077
         8.4546,   3.8792,   0.1013,   1.0441,   0.0096
         8.4572,   3.8812,   0.0993,   1.0390,   0.0069
         8.4599,   3.8825,   0.1035,   1.0342,   0.0036
         8.4625,   3.8833,   0.1045,   1.0447,   0.0051
         8.4651,   3.8824,   0.1010,   1.0489,   0.0074
         8.4677,   3.8812,   0.1022,   1.0427,   0.0043
         8.4704,   3.8790,   0.1001,   1.0393,   0.0028
         8.4730,   3.8865,   0.1042,   1.0472,   0.0249
         8.4756,   3.8832,   0.1068,   1.0464,   0.0147
         8.4782,   3.8811,   0.1014,   1.0414,   0.0046
         8.4809,   3.8804,   0.1020,   1.0387,   0.0049
         8.4835,   3.8772,   0.0987,   1.0436,   0.0061
         8.4861,   3.8815,   0.1068,   1.0419,   0.0129
         8.4887,   3.8817,   0.1054,   1.0401,   0.0060
         8.4914,   3.8796,   0.1003,   1.0469,   0.0032
         8.4940,   3.8820,   0.1050,   1.0491,   0.0123
         8.4966,   3.8830,   0.1028,   1.0427,   0.0131
         8.4992,   3.8789,   0.1052,   1.0394,   0.0156
         8.5019,   3.8785,   0.1062,   1.0420,   0.0041
         8.5045,   3.8783,   0.1026,   1.0405,   0.0026
         8.5071,   3.8823,   0.1031,   1.0431,   0.0027
         8.5097,   3.8808,   0.1045,   1.0351,   0.0026
         8.5124,   3.8825,   0.1058,   1.0491,   0.0156
         8.5150,   3.8808,   0.1052,   1.0403,  -0.0010
         8.5176,   3.8824,   0.1047,   1.0440,   0.0148
         8.5202,   3.8788,   0.1043,   1.0395,   0.0062
         8.5229,   3.8830,   0.1053,   1.0387,   0.0042
         8.5255,   3.8825,   0.1015,   1.0350,  -0.0012
         8.5281,   3.8835,   0.1033,   1.0430,  -0.0007
         8.5307,   3.8833,   0.1027,   1.0428,   0.0101
         8.5334,   3.8812,   0.1025,   1.0429,  -0.0026
         8.5360,   3.8815,   0.1037,   1.0285,   0.0039
         8.5386,   3.8797,   0.1025,   1.0367,   0.0044
         8.5412,   3.8802,   0.1058,   1.0428,   0.0046
         8.5439,   3.8802,   0.1045,   1.0448,   0.0057
         8.5465,   3.8817,   0.1070,   1.0447,   0.0081
         8.5491,   3.8826,   0.1031,   1.0423,   0.0057
         8.5517,   3.8809,   0.1028,   1.0393,   0.0065
         8.5544,   3.8808,   0.1010,   1.0383,   0.0003
         8.5570,   3.8805,   0.1022,   1.0375,   0.0003
         8.5596,   3.8812,   0.1048,   1.0448,   0.0033
         8.5622,   3.8831,   0.1031,   1.0439,   0.0028
         8.5649,   3.8809,   0.1024,   1.0438,   0.0049
         8.5675,   3.8842,   0.0988,   1.0425,  -0.0022
         8.5701,   3.8807,   0.1018,   1.0403,  -0.0037
         8.5727,   3.8821,   0.1039,   1.0454,   0.0054
         8.5754,   3.8813,   0.1011,   1.0385,   0.0020
         8.5780,   3.8814,   0.1032,   1.0411,   0.0072
         8.5806,   3.8806,   0.1047,   1.0439,   0.0053
         8.5832,   3.8840,   0.1039,   1.0484,   0.0057
         8.5859,   3.8867,   0.1018,   1.0501,   0.0024
         8.5885,   3.8829,   0.1034,   1.0424,   0.0120
         8.5911,   3.8823,   0.1022,   1.0399,   0.0047
         8.5938,   3.8825,   0.1035,   1.0393,   0.0026
         8.5964,   3.8833,   0.1019,   1.0479,   0.0064
         8.5990,   3.8808,   0.1030,   1.0390,   0.0049
         8.6016,   3.8810,   0.0979,   1.0416,  -0.0018
         8.6043,   3.8816,   0.1016,   1.0433,   0.0017
         8.6069,   3.8821,   0.1030,   1.0410,   0.0088
         8.6095,   3.8814,   0.1002,   1.0375,   0.0082
         8.6121,   3.8866,   0.1011,   1.0530,   0.0020
         8.6148,   3.8831,   0.1057,   1.0463,   0.0122
         8.6174,   3.8846,   0.1056,   1.0421,   0.0107
         8.6200,   3.8842,   0.0996,   1.0465,   0.0077
         8.6226,   3.8841,   0.0998,   1.0420,   0.0015
         8.6252,   3.8836,   0.1034,   1.0377,   0.0057
         8.6279,   3.8814,   0.1005,   1.0386,   0.0050
         8.6305,   3.8813,   0.1013,   1.0298,  -0.0005
         8.6331,   3.8832,   0.1061,   1.0459,   0.0070
         8.6357,   3.8824,   0.1034,   1.0450,   0.0169
         8.6384,   3.8832,   0.1045,   1.0435,   0.0087
         8.6410,   3.8819,   0.1004,   1.0390,  -0.0020
         8.6436,   3.8810,   0.1035,   1.0418,   0.0045
         8.6463,   3.8831,   0.1046,   1.0400,   0.0045
         8.6489,   3.8849,   0.1073,   1.0468,   0.0081
         8.6515,   3.8808,   0.1045,   1.0374,   0.0048
         8.6541,   3.8814,   0.1085,   1.0371,   0.0112
         8.6568,   3.8800,   0.1042,   1.0415,   0.0048
         8.6594,   3.8794,   0.1010,   1.0443,   0.0016
         8.6620,   3.8852,   0.1019,   1.0449,  -0.0040
         8.6646,   3.8841,   0.1013,   1.0374,   0.0094
         8.6672,   3.8793,   0.1043,   1.0470,   0.0084
         8.6699,   3.8822,   0.1014,   1.0395,   0.0075
         8.6725,   3.8818,   0.1069,   1.0368,   0.0069
         8.6751,   3.8829,   0.1045,   1.0478,   0.0048
         8.6777,   3.8842,   0.1040,   1.0399,   0.0084
         8.6804,   3.8827,   0.1051,   1.0421,   0.0057
         8.6830,   3.8812,   0.1035,   1.0410,   0.0101
         8.6856,   3.8835,   0.1041,   1.0384,   0.0010
         8.6883,   3.8848,   0.1027,   1.0523,   0.0069
         8.6909,   3.8801,   0.1040,   1.0403,   0.0148
         8.6935,   3.8826,   0.1036,   1.0367,   0.0044
         8.6961,   3.8806,   0.1014,   1.0409,   0.0018
         8.6988,   3.8833,   0.1042,   1.0454,   0.0079
         8.7014,   3.8862,   0.1038,   1.0440,   0.0054
         8.7040,   3.8789,   0.1033,   1.0378,   0.0094
         8.7066,   3.8842,   0.1006,   1.0449,   0.0035
         8.7093,   3.8820,   0.1068,   1.0455,   0.0142
         8.7119,   3.8754,   0.1014,   1.0346,   0.0106
         8.7145,   3.8874,   0.0994,   1.0505,   0.0026
         8.7171,   3.8869,   0.0958,   1.0423,   0.0084
         8.7197,   3.8849,   0.0998,   1.0489,   0.0018
         8.7224,   3.8863,   0.0993,   1.0466,   0.0067
         8.7250,   3.8869,   0.1052,   1.0391,   0.0112
         8.7276,   3.8854,   0.1024,   1.0435,   0.0056
         8.7302,   3.8853,   0.1051,   1.0409,   0.0036
         8.7329,   3.8840,   0.1042,   1.0407,   0.0043
         8.7355,   3.8868,   0.1048,   1.0440,   0.0067
         8.7381,   3.8837,   0.1028,   1.0383,   0.0109
         8.7408,   3.8853,   0.1013,   1.0441,   0.0058
         8.7434,   3.8873,   0.1014,   1.0379,   0.0114
         8.7460,   3.8803,   0.1035,   1.0491,  -0.0009
         8.7486,   3.8871,   0.1031,   1.0440,   0.0087
         8.7513,   3.8861,   0.1053,   1.0378,   0.0049
         8.7539,   3.8772,   0.1066,   1.0491,   0.0093
         8.7565,   3.8837,   0.1038,   1.0409,   0.0052
         8.7591,   3.8843,   0.1041,   1.0382,   0.0117
         8.7617,   3.8831,   0.1056,   1.0396,   0.0009
         8.7644,   3.8792,   0.1052,   1.0411,   0.0095
         8.7670,   3.8820,   0.1096,   1.0428,   0.0075
         8.7696,   3.8811,   0.1066,   1.0396,   0.0113
         8.7722,   3.8837,   0.1071,   1.0436,   0.0091
         8.7749,   3.8789,   0.0958,   1.0370,   0.0119
         8.7775,   3.8792,   0.1052,   1.0377,   0.0071
         8.7801,   3.8794,   0.1032,   1.0387,   0.0170
         8.7828,   3.8854,   0.1052,   1.0485,  -0.0014
         8.7854,   3.8876,   0.1017,   1.0383,   0.0080
         8.7880,   3.8804,   0.1064,   1.0372,   0.0105
         8.7906,   3.8826,   0.1042,   1.0477,   0.0096
         8.7933,   3.8831,   0.0952,   1.0454,   0.0003
         8.7959,   3.8829,   0.0998,   1.0397,   0.0057
         8.7985,   3.8854,   0.1030,   1.0431,   0.0029
         8.8011,   3.8814,   0.1005,   1.0409,   0.0084
         8.8038,   3.8851,   0.1060,   1.0455,   0.0056
         8.8064,   3.8802,   0.0972,   1.0459,   0.0094
         8.8090,   3.8808,   0.1054,   1.0412,   0.0046
         8.8116,   3.8778,   0.1001,   1.0446,   0.0031
         8.8142,   3.8852,   0.1035,   1.0396,   0.0092
         8.8169,   3.8907,   0.1029,   1.0444,   0.0095
         8.8195,   3.8822,   0.1042,   1.0456,  -0.0024
         8.8221,   3.8878,   0.1037,   1.0414,   0.0069
         8.8247,   3.8786,   0.1026,   1.0497,   0.0004
         8.8274,   3.8851,   0.1031,   1.0410,   0.0102
         8.8300,   3.8780,   0.1051,   1.0439,   0.0021
         8.8326,   3.8829,   0.1046,   1.0444,   0.0035
         8.8353,   3.8880,   0.1049,   1.0445,   0.0065
         8.8379,   3.8872,   0.0973,   1.0394,   0.0083
         8.8405,   3.8860,   0.0983,   1.0448,   0.0054
         8.8431,   3.8829,   0.1030,   1.0529,   0.0089
         8.8458,   3.8792,   0.0998,   1.0410,   0.0013
         8.8484,   3.8819,   0.1049,   1.0431,   0.0095
         8.8510,   3.8851,   0.1152,   1.0516,   0.0037
         8.8536,   3.8848,   0.1059,   1.0468,   0.0198
         8.8562,   3.8969,   0.0977,   1.0435,  -0.0003
         8.8589,   3.8707,   0.1016,   1.0371,   0.0140
         8.8615,   3.8839,   0.1093,   1.0445,   0.0106
         8.8641,   3.8853,   0.1051,   1.0402,   0.0118
         8.8667,   3.8903,   0.1094,   1.0444,   0.0056
         8.8694,   3.8844,   0.1021,   1.0381,   0.0026
         8.8720,   3.8853,   0.1038,   1.0392,   0.0042
         8.8746,   3.8797,   0.1051,   1.0392,  -0.0015
         8.8773,   3.8843,   0.1062,   1.0400,   0.0030
         8.8799,   3.8852,   0.1055,   1.0449,   0.0056
         8.8825,   3.8833,   0.1067,   1.0436,   0.0059
         8.8851,   3.8856,   0.1086,   1.0395,   0.0067
         8.8878,   3.8822,   0.1043,   1.0394,   0.0090
         8.8904,   3.8839,   0.1015,   1.0385,   0.0101
         8.8930,   3.8860,   0.1042,   1.0388,   0.0057
         8.8956,   3.8922,   0.1069,   1.0334,   0.0112
         8.8983,   3.8826,   0.1024,   1.0416,   0.0044
         8.9009,   3.8862,   0.0994,   1.0435,   0.0082
         8.9035,   3.8825,   0.1049,   1.0398,   0.0034
         8.9061,   3.8820,   0.1002,   1.0398,   0.0065
         8.9087,   3.8839,   0.1028,   1.0432,   0.0053
         8.9114,   3.8816,   0.1038,   1.0376,   0.0034
         8.9140,   3.8849,   0.1009,   1.0439,   0.0035
         8.9166,   3.8810,   0.0998,   1.0417,   0.0069
         8.9192,   3.8873,   0.1000,   1.0356,   0.0054
         8.9219,   3.8811,   0.1030,   1.0468,   0.0009
         8.9245,   3.8849,   0.1061,   1.0447,  -0.0064
         8.9271,   3.8789,   0.1033,   1.0490,   0.0066
         8.9298,   3.8822,   0.0978,   1.0402,   0.0098
         8.9324,   3.8831,   0.0935,   1.0339,   0.0075
         8.9350,   3.8868,   0.0960,   1.0368,   0.0047
         8.9376,   3.8899,   0.0977,   1.0416,   0.0010
         8.9403,   3.8851,   0.1025,   1.0449,   0.0120
         8.9429,   3.8859,   0.1081,   1.0455,   0.0078
         8.9455,   3.8837,   0.1059,   1.0442,   0.0077
         8.9481,   3.8869,   0.1117,   1.0532,   0.0116
         8.9507,   3.8822,   0.0995,   1.0456,   0.0075
         8.9534,   3.8854,   0.1037,   1.0408,   0.0020
         8.9560,   3.8909,   0.1094,   1.0454,   0.0105
         8.9586,   3.8876,   0.1023,   1.0481,   0.0115
         8.9612,   3.8830,   0.1009,   1.0414,   0.0046
         8.9639,   3.8865,   0.1044,   1.0466,   0.0083
         8.9665,   3.8859,   0.1050,   1.0407,   0.0070
         8.9691,   3.8868,   0.0973,   1.0472,   0.0092
         8.9718,   3.8850,   0.0948,   1.0498,   0.0042
         8.9744,   3.8813,   0.0982,   1.0418,   0.0040
         8.9770,   3.8863,   0.1028,   1.0464,   0.0088
         8.9796,   3.8834,   0.1022,   1.0453,   0.0061
         8.9823,   3.8894,   0.0970,   1.0450,   0.0179
         8.9849,   3.8880,   0.1040,   1.0417,   0.0104
         8.9875,   3.8885,   0.1084,   1.0323,   0.0023
         8.9901,   3.8884,   0.1066,   1.0401,   0.0075
         8.9927,   3.8857,   0.1025,   1.0452,   0.0099
         8.9954,   3.8895,   0.1010,   1.0391,   0.0164
         8.9980,   3.8880,   0.1065,   1.0378,   0.0082
         9.0006,   3.8822,   0.0986,   1.0463,   0.0107
         9.0032,   3.8819,   0.1029,   1.0485,   0.0045
         9.0059,   3.8836,   0.1026,   1.0448,   0.0092
         9.0085,   3.8878,   0.1023,   1.0486,   0.0081
         9.0111,   3.8861,   0.1076,   1.0441,   0.0087
         9.0137,   3.8867,   0.1079,   1.0382,   0.0074
         9.0164,   3.8882,   0.1037,   1.0364,   0.0060
         9.0190,   3.8796,   0.1069,   1.0459,  -0.0031
         9.0216,   3.8843,   0.1065,   1.0392,   0.0101
         9.0243,   3.8881,   0.1093,   1.0419,   0.0094
         9.0269,   3.8887,   0.1091,   1.0462,   0.0125
         9.0295,   3.8815,   0.1044,   1.0442,   0.0074
         9.0321,   3.8888,   0.1032,   1.0397,   0.0089
         9.0348,   3.8854,   0.1051,   1.0448,   0.0110
         9.0374,   3.8860,   0.1099,   1.0347,   0.0095
         9.0400,   3.8829,   0.1073,   1.0434,   0.0089
         9.0426,   3.8812,   0.1004,   1.0408,   0.0059
         9.0452,   3.8861,   0.1049,   1.0410,   0.0125
         9.0479,   3.8814,   0.1019,   1.0386,   0.0027
         9.0505,   3.8792,   0.1068,   1.0347,   0.0062
         9.0531,   3.8825,   0.1020,   1.0426,   0.0065
         9.0557,   3.8850,   0.1069,   1.0404,   0.0105
         9.0584,   3.8781,   0.1044,   1.0383,   0.0000
         9.0610,   3.8820,   0.1011,   1.0401,   0.0084
         9.0636,   3.8804,   0.0966,   1.0438,   0.0074
         9.0663,   3.8814,   0.1013,   1.0421,   0.0024
         9.0689,   3.8845,   0.1001,   1.0396,   0.0083
         9.0715,   3.8857,   0.0997,   1.0405,   0.0032
         9.0741,   3.8840,   0.0997,   1.0395,   0.0109
         9.0768,   3.8831,   0.1024,   1.0390,   0.0130
         9.0794,   3.8859,   0.0980,   1.0344,   0.0058
         9.0820,   3.8839,   0.0985,   1.0434,   0.0097
         9.0846,   3.8843,   0.0959,   1.0333,   0.0086
         9.0872,   3.8836,   0.0959,   1.0466,   0.0050
         9.0899,   3.8846,   0.1011,   1.0413,   0.0177
         9.0925,   3.8849,   0.0961,   1.0367,   0.0091
         9.0951,   3.8835,   0.1000,   1.0413,   0.0194
         9.0977,   3.8783,   0.0958,   1.0301,   0.0068
         9.1004,   3.8844,   0.1002,   1.0445,   0.0050
         9.1030,   3.8861,   0.1012,   1.0398,   0.0176
         9.1056,   3.8815,   0.0959,   1.0367,   0.0115
         9.1083,   3.8828,   0.0991,   1.0373,   0.0093
         9.1109,   3.8872,   0.0933,   1.0464,   0.0110
         9.1135,   3.8858,   0.0946,   1.0394,   0.0090
         9.1161,   3.8848,   0.1033,   1.0407,   0.0209
         9.1188,   3.8844,   0.0974,   1.0360,   0.0182
         9.1214,   3.8842,   0.0934,   1.0431,   0.0050
         9.1240,   3.8826,   0.0954,   1.0415,   0.0109
         9.1266,   3.8871,   0.1025,   1.0372,   0.0142
         9.1293,   3.8865,   0.0958,   1.0372,   0.0119
         9.1319,   3.8863,   0.0979,   1.0340,   0.0064
         9.1345,   3.8885,   0.0977,   1.0444,   0.0046
         9.1371,   3.8895,   0.0965,   1.0417,   0.0071
         9.1397,   3.8835,   0.1009,   1.0447,   0.0045
         9.1424,   3.8860,   0.1029,   1.0409,   0.0107
         9.1450,   3.8849,   0.1007,   1.0420,   0.0126
         9.1476,   3.8888,   0.0947,   1.0404,   0.0109
         9.1502,   3.8861,   0.0969,   1.0441,   0.0107
         9.1529,   3.8860,   0.1012,   1.0382,   0.0052
         9.1555,   3.8869,   0.1005,   1.0410,   0.0179
         9.1581,   3.8887,   0.1004,   1.0425,   0.0125
         9.1608,   3.8864,   0.1014,   1.0426,   0.0060
         9.1634,   3.8871,   0.1001,   1.0406,   0.0074
         9.1660,   3.8859,   0.1033,   1.0429,   0.0128
         9.1686,   3.8873,   0.1049,   1.0472,   0.0089
         9.1713,   3.8871,   0.1048,   1.0377,   0.0206
         9.1739,   3.8878,   0.1054,   1.0408,   0.0125
         9.1765,   3.8799,   0.1027,   1.0299,   0.0156
         9.1791,   3.8848,   0.0987,   1.0319,   0.0062
         9.1817,   3.8884,   0.1027,   1.0389,   0.0110
         9.1844,   3.8884,   0.1000,   1.0447,   0.0084
         9.1870,   3.8862,   0.1004,   1.0336,   0.0075
         9.1896,   3.8865,   0.1028,   1.0387,   0.0114
         9.1922,   3.8842,   0.1064,   1.0331,   0.0130
         9.1949,   3.8818,   0.0997,   1.0322,   0.0024
         9.1975,   3.8845,   0.0980,   1.0390,   0.0038
         9.2001,   3.8874,   0.0979,   1.0435,   0.0034
         9.2028,   3.8801,   0.0985,   1.0301,  -0.0004
         9.2054,   3.8867,   0.0980,   1.0415,   0.0077
         9.2080,   3.8818,   0.0987,   1.0386,   0.0029
         9.2106,   3.8849,   0.1028,   1.0439,   0.0148
         9.2133,   3.8852,   0.1033,   1.0442,   0.0104
         9.2159,   3.8833,   0.1000,   1.0353,   0.0053
         9.2185,   3.8797,   0.0984,   1.0394,   0.0061
         9.2211,   3.8859,   0.0980,   1.0421,   0.0065
         9.2238,   3.8810,   0.1028,   1.0371,   0.0091
         9.2264,   3.8848,   0.0995,   1.0406,   0.0059
         9.2290,   3.8844,   0.0959,   1.0393,   0.0043
         9.2316,   3.8855,   0.1021,   1.0404,   0.0156
         9.2342,   3.8819,   0.0979,   1.0352,   0.0101
         9.2369,   3.8831,   0.0959,   1.0374,   0.0095
         9.2395,   3.8842,   0.0968,   1.0415,   0.0094
         9.2421,   3.8850,   0.1003,   1.0393,   0.0118
         9.2447,   3.8885,   0.0953,   1.0417,   0.0033
         9.2474,   3.8876,   0.1010,   1.0402,   0.0122
         9.2500,   3.8848,   0.0971,   1.0372,   0.0074
         9.2526,   3.8891,   0.1010,   1.0445,   0.0099
         9.2553,   3.8835,   0.0976,   1.0323,   0.0079
         9.2579,   3.8864,   0.0980,   1.0381,   0.0082
         9.2605,   3.8868,   0.0939,   1.0410,   0.0014
         9.2631,   3.8840,   0.1038,   1.0365,   0.0193
         9.2658,   3.8890,   0.1000,   1.0424,   0.0133
         9.2684,   3.8895,   0.1053,   1.0489,   0.0239
         9.2710,   3.8878,   0.0992,   1.0333,   0.0119
         9.2736,   3.8896,   0.1019,   1.0475,   0.0185
         9.2762,   3.8890,   0.1015,   1.0416,   0.0128
         9.2789,   3.8880,   0.0988,   1.0425,   0.0106
         9.2815,   3.8911,   0.0992,   1.0449,   0.0113
         9.2841,   3.8930,   0.1021,   1.0483,   0.0108
         9.2867,   3.8902,   0.0988,   1.0410,   0.0019
         9.2894,   3.8898,   0.1025,   1.0422,   0.0132
         9.2920,   3.8894,   0.1019,   1.0404,   0.0122
         9.2946,   3.8848,   0.1021,   1.0326,   0.0147
         9.2973,   3.8864,   0.0972,   1.0387,   0.0063
         9.2999,   3.8891,   0.1048,   1.0431,   0.0188
         9.3025,   3.8891,   0.1018,   1.0446,   0.0181
         9.3051,   3.8873,   0.1006,   1.0377,   0.0090
         9.3078,   3.8886,   0.1055,   1.0452,   0.0138
         9.3104,   3.8878,   0.0979,   1.0378,   0.0063
         9.3130,   3.8864,   0.1031,   1.0429,   0.0082
         9.3156,   3.8897,   0.0990,   1.0432,   0.0113
         9.3183,   3.8909,   0.1047,   1.0442,   0.0126
         9.3209,   3.8874,   0.1004,   1.0379,   0.0104
         9.3235,   3.8882,   0.1016,   1.0366,   0.0109
         9.3261,   3.8882,   0.1023,   1.0392,   0.0098
         9.3287,   3.8869,   0.1031,   1.0383,   0.0093
         9.3314,   3.8866,   0.1004,   1.0408,   0.0026
         9.3340,   3.8864,   0.1028,   1.0400,   0.0095
         9.3366,   3.8903,   0.1000,   1.0466,   0.0059
         9.3392,   3.8851,   0.0996,   1.0401,   0.0065
         9.3419,   3.8872,   0.1013,   1.0364,   0.0103
         9.3445,   3.8875,   0.1071,   1.0395,   0.0160
         9.3471,   3.8880,   0.1002,   1.0409,   0.0113
         9.3498,   3.8911,   0.1036,   1.0425,   0.0114
         9.3524,   3.8894,   0.0996,   1.0447,   0.0079
         9.3550,   3.8895,   0.0959,   1.0421,  -0.0006
         9.3576,   3.8834,   0.0970,   1.0409,   0.0117
         9.3603,   3.8856,   0.1055,   1.0332,   0.0097
         9.3629,   3.8862,   0.0993,   1.0391,   0.0067
         9.3655,   3.8915,   0.1005,   1.0366,   0.0111
         9.3681,   3.8869,   0.0977,   1.0438,   0.0073
         9.3707,   3.8867,   0.1013,   1.0430,   0.0040
         9.3734,   3.8825,   0.0980,   1.0449,   0.0058
