Transmission Line And Free Space Method 15.1.16021801
Agilent Technologies,N5230C,MY49000690,A.09.42.22

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Mu and Epsilon
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.500000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 2.000000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Friday, January 01, 1988 04:04:08"
frequency(GHz),e',e'',u',u''
        12.5505,   4.6726,   0.1428,   0.9921,  -0.0060
        12.5540,   4.6761,   0.1494,   0.9906,   0.0061
        12.5575,   4.6781,   0.1463,   0.9916,  -0.0010
        12.5610,   4.6694,   0.1547,   0.9955,   0.0076
        12.5645,   4.6814,   0.1559,   0.9997,   0.0044
        12.5680,   4.6857,   0.1622,   1.0021,   0.0046
        12.5715,   4.6806,   0.1391,   0.9943,  -0.0080
        12.5750,   4.6787,   0.1377,   0.9996,  -0.0076
        12.5785,   4.6863,   0.1515,   1.0058,  -0.0012
        12.5820,   4.6759,   0.1489,   0.9966,   0.0033
        12.5855,   4.6895,   0.1500,   1.0068,  -0.0024
        12.5890,   4.6808,   0.1472,   0.9982,  -0.0061
        12.5925,   4.6747,   0.1384,   0.9983,  -0.0143
        12.5960,   4.6877,   0.1425,   1.0049,  -0.0099
        12.5995,   4.6818,   0.1483,   0.9989,  -0.0034
        12.6030,   4.6808,   0.1629,   1.0032,   0.0057
        12.6065,   4.6877,   0.1380,   1.0029,  -0.0079
        12.6100,   4.6850,   0.1451,   1.0024,  -0.0065
        12.6135,   4.6881,   0.1508,   1.0079,   0.0008
        12.6170,   4.6899,   0.1484,   1.0064,  -0.0014
        12.6205,   4.6731,   0.1555,   0.9932,   0.0079
        12.6240,   4.6807,   0.1484,   0.9986,  -0.0038
        12.6275,   4.6808,   0.1493,   0.9984,  -0.0016
        12.6310,   4.6798,   0.1470,   0.9979,   0.0010
        12.6345,   4.6849,   0.1447,   1.0021,  -0.0004
        12.6380,   4.6802,   0.1419,   1.0005,  -0.0047
        12.6415,   4.6794,   0.1543,   1.0006,   0.0020
        12.6450,   4.6680,   0.1479,   0.9893,   0.0019
        12.6485,   4.6768,   0.1484,   0.9975,  -0.0014
        12.6520,   4.6804,   0.1474,   1.0009,   0.0011
        12.6555,   4.6737,   0.1482,   0.9950,   0.0012
        12.6590,   4.6758,   0.1533,   0.9938,   0.0062
        12.6625,   4.6791,   0.1504,   0.9978,   0.0060
        12.6660,   4.6835,   0.1478,   1.0047,   0.0025
        12.6695,   4.6832,   0.1513,   1.0010,   0.0059
        12.6730,   4.6871,   0.1422,   1.0096,  -0.0072
        12.6765,   4.6794,   0.1408,   0.9947,   0.0010
        12.6800,   4.6851,   0.1460,   1.0040,  -0.0000
        12.6835,   4.6816,   0.1405,   0.9952,  -0.0053
        12.6870,   4.6753,   0.1474,   0.9953,  -0.0028
        12.6905,   4.6796,   0.1402,   0.9979,  -0.0022
        12.6940,   4.6882,   0.1564,   1.0041,   0.0041
        12.6975,   4.6844,   0.1586,   1.0020,   0.0045
        12.7010,   4.6806,   0.1498,   1.0008,  -0.0014
        12.7045,   4.6768,   0.1507,   0.9893,   0.0007
        12.7080,   4.6771,   0.1479,   0.9931,   0.0020
        12.7115,   4.6721,   0.1439,   0.9926,   0.0006
        12.7150,   4.6778,   0.1471,   1.0033,   0.0020
        12.7185,   4.6812,   0.1449,   0.9985,  -0.0080
        12.7220,   4.6811,   0.1586,   1.0016,   0.0029
        12.7255,   4.6734,   0.1444,   0.9984,  -0.0025
        12.7290,   4.6768,   0.1456,   1.0009,   0.0074
        12.7325,   4.6794,   0.1515,   0.9983,  -0.0033
        12.7360,   4.6802,   0.1465,   0.9969,   0.0007
        12.7395,   4.6797,   0.1520,   1.0012,   0.0073
        12.7430,   4.6806,   0.1482,   1.0056,   0.0025
        12.7465,   4.6854,   0.1490,   0.9929,  -0.0035
        12.7500,   4.6761,   0.1581,   0.9953,   0.0098
        12.7535,   4.6764,   0.1501,   0.9972,  -0.0026
        12.7570,   4.6787,   0.1527,   0.9988,   0.0018
        12.7605,   4.6747,   0.1494,   1.0010,  -0.0016
        12.7640,   4.6760,   0.1566,   0.9961,   0.0072
        12.7675,   4.6620,   0.1436,   0.9908,  -0.0030
        12.7710,   4.6819,   0.1388,   1.0021,  -0.0012
        12.7745,   4.6789,   0.1514,   0.9988,  -0.0002
        12.7780,   4.6721,   0.1504,   0.9994,   0.0061
        12.7815,   4.6804,   0.1547,   0.9936,   0.0141
        12.7850,   4.6827,   0.1392,   0.9980,  -0.0048
        12.7885,   4.6851,   0.1493,   1.0028,  -0.0062
        12.7920,   4.6730,   0.1390,   0.9995,   0.0022
        12.7955,   4.6737,   0.1462,   0.9960,   0.0007
        12.7990,   4.6806,   0.1587,   1.0040,  -0.0081
        12.8025,   4.6807,   0.1347,   1.0035,  -0.0081
        12.8060,   4.6769,   0.1446,   1.0020,   0.0049
        12.8095,   4.6832,   0.1467,   0.9953,  -0.0034
        12.8130,   4.6757,   0.1483,   1.0054,   0.0037
        12.8165,   4.6730,   0.1454,   1.0007,   0.0031
        12.8200,   4.6746,   0.1523,   0.9993,  -0.0079
        12.8235,   4.6757,   0.1399,   0.9984,   0.0037
        12.8270,   4.6811,   0.1522,   1.0053,  -0.0014
        12.8305,   4.6648,   0.1734,   1.0049,   0.0086
        12.8340,   4.6566,   0.1530,   0.9905,   0.0046
        12.8375,   4.6822,   0.1541,   0.9971,  -0.0045
        12.8410,   4.6740,   0.1669,   1.0037,   0.0014
        12.8445,   4.6821,   0.1536,   0.9986,  -0.0065
        12.8480,   4.6695,   0.1499,   1.0022,   0.0011
        12.8515,   4.6711,   0.1423,   0.9957,   0.0005
        12.8550,   4.6778,   0.1370,   0.9981,  -0.0018
        12.8585,   4.6662,   0.1593,   0.9915,   0.0105
        12.8620,   4.6816,   0.1497,   0.9939,  -0.0025
        12.8655,   4.6775,   0.1383,   1.0029,   0.0025
        12.8690,   4.6730,   0.1535,   0.9947,  -0.0022
        12.8725,   4.6765,   0.1467,   0.9970,   0.0012
        12.8760,   4.6846,   0.1462,   0.9975,   0.0008
        12.8795,   4.6769,   0.1494,   0.9977,   0.0029
        12.8830,   4.6707,   0.1539,   0.9965,  -0.0039
        12.8865,   4.6802,   0.1492,   0.9933,   0.0007
        12.8900,   4.6854,   0.1532,   0.9960,  -0.0130
        12.8935,   4.6792,   0.1509,   0.9990,  -0.0030
        12.8970,   4.6746,   0.1473,   1.0009,  -0.0011
        12.9005,   4.6804,   0.1447,   0.9956,  -0.0019
        12.9040,   4.6766,   0.1600,   1.0005,   0.0077
        12.9075,   4.6874,   0.1614,   0.9941,  -0.0051
        12.9110,   4.6862,   0.1448,   0.9987,  -0.0019
        12.9145,   4.6750,   0.1581,   1.0065,   0.0079
        12.9180,   4.6804,   0.1635,   1.0035,   0.0027
        12.9215,   4.6873,   0.1495,   0.9973,   0.0064
        12.9250,   4.6727,   0.1575,   0.9987,  -0.0037
        12.9285,   4.6720,   0.1548,   1.0003,   0.0031
        12.9320,   4.6785,   0.1646,   1.0013,   0.0044
        12.9355,   4.6680,   0.1572,   0.9956,  -0.0027
        12.9390,   4.6781,   0.1459,   1.0007,  -0.0084
        12.9425,   4.6705,   0.1641,   0.9913,   0.0029
        12.9460,   4.6881,   0.1573,   1.0029,   0.0004
        12.9495,   4.6766,   0.1642,   0.9949,  -0.0031
        12.9530,   4.6794,   0.1437,   0.9942,  -0.0006
        12.9565,   4.6769,   0.1373,   1.0004,   0.0016
        12.9600,   4.6868,   0.1601,   0.9966,   0.0040
        12.9635,   4.6834,   0.1557,   0.9967,   0.0048
        12.9670,   4.6665,   0.1498,   1.0022,  -0.0024
        12.9705,   4.6751,   0.1404,   1.0001,  -0.0083
        12.9740,   4.6706,   0.1495,   1.0058,   0.0007
        12.9775,   4.6854,   0.1496,   0.9913,   0.0038
        12.9810,   4.6748,   0.1501,   0.9973,  -0.0035
        12.9845,   4.6731,   0.1553,   1.0001,   0.0035
        12.9880,   4.6806,   0.1403,   0.9925,   0.0040
        12.9915,   4.6855,   0.1335,   0.9938,  -0.0075
        12.9950,   4.6899,   0.1380,   0.9960,  -0.0113
        12.9985,   4.6718,   0.1471,   0.9971,  -0.0001
        13.0020,   4.6913,   0.1468,   1.0021,  -0.0121
        13.0055,   4.6985,   0.1395,   0.9950,  -0.0115
        13.0090,   4.6956,   0.1400,   0.9991,  -0.0083
        13.0125,   4.6800,   0.1449,   1.0033,  -0.0040
        13.0160,   4.6723,   0.1623,   0.9938,   0.0027
        13.0195,   4.6734,   0.1588,   0.9974,   0.0047
        13.0230,   4.6836,   0.1325,   1.0012,   0.0041
        13.0265,   4.6827,   0.1589,   0.9962,   0.0002
        13.0300,   4.6714,   0.1681,   0.9921,  -0.0001
        13.0335,   4.6783,   0.1423,   0.9936,  -0.0014
        13.0370,   4.6933,   0.1459,   0.9956,   0.0056
        13.0405,   4.6678,   0.1472,   1.0019,  -0.0096
        13.0440,   4.6827,   0.1302,   0.9993,   0.0010
        13.0475,   4.6813,   0.1522,   0.9942,   0.0009
        13.0510,   4.6802,   0.1562,   0.9952,  -0.0012
        13.0545,   4.6758,   0.1473,   0.9980,  -0.0010
        13.0580,   4.6788,   0.1506,   0.9989,   0.0072
        13.0615,   4.6760,   0.1504,   0.9981,   0.0020
        13.0650,   4.6800,   0.1453,   0.9992,   0.0053
        13.0685,   4.6663,   0.1560,   1.0061,   0.0030
        13.0720,   4.6712,   0.1518,   0.9898,  -0.0013
        13.0755,   4.6562,   0.1607,   0.9988,   0.0054
        13.0790,   4.6977,   0.1320,   1.0011,  -0.0128
        13.0825,   4.6983,   0.1343,   0.9964,   0.0046
        13.0860,   4.6609,   0.1478,   0.9931,   0.0054
        13.0895,   4.6731,   0.1385,   0.9923,  -0.0066
        13.0930,   4.6566,   0.1433,   0.9906,  -0.0020
        13.0965,   4.6912,   0.1386,   1.0029,  -0.0012
        13.1000,   4.6593,   0.1624,   1.0012,  -0.0012
        13.1035,   4.6674,   0.1619,   0.9918,   0.0016
        13.1070,   4.6799,   0.1491,   1.0012,  -0.0012
        13.1105,   4.6595,   0.1594,   0.9947,   0.0026
        13.1140,   4.6652,   0.1605,   0.9982,  -0.0011
        13.1175,   4.6771,   0.1448,   1.0037,  -0.0003
        13.1210,   4.6792,   0.1364,   1.0006,   0.0071
        13.1245,   4.6763,   0.1407,   0.9979,  -0.0021
        13.1280,   4.6744,   0.1436,   1.0014,  -0.0100
        13.1315,   4.6871,   0.1511,   0.9961,  -0.0012
        13.1350,   4.6789,   0.1530,   0.9920,  -0.0068
        13.1385,   4.6744,   0.1453,   1.0052,  -0.0053
        13.1420,   4.6793,   0.1385,   0.9959,   0.0013
        13.1455,   4.6691,   0.1542,   1.0062,  -0.0034
        13.1490,   4.6812,   0.1506,   0.9945,  -0.0073
        13.1525,   4.6724,   0.1520,   0.9983,  -0.0039
        13.1560,   4.6768,   0.1451,   0.9984,   0.0016
        13.1595,   4.6686,   0.1555,   1.0106,   0.0063
        13.1630,   4.6789,   0.1474,   0.9983,   0.0053
        13.1665,   4.6626,   0.1485,   0.9937,   0.0085
        13.1700,   4.6785,   0.1549,   1.0059,   0.0004
        13.1735,   4.6813,   0.1496,   0.9931,   0.0014
        13.1770,   4.6653,   0.1384,   1.0003,  -0.0028
        13.1805,   4.6826,   0.1482,   0.9980,  -0.0003
        13.1840,   4.6756,   0.1443,   0.9960,   0.0057
        13.1875,   4.6677,   0.1488,   1.0007,   0.0035
        13.1910,   4.6659,   0.1559,   0.9911,   0.0052
        13.1945,   4.6679,   0.1495,   1.0001,   0.0026
        13.1980,   4.6615,   0.1440,   0.9996,   0.0024
        13.2015,   4.6849,   0.1558,   0.9949,  -0.0021
        13.2050,   4.6785,   0.1523,   0.9992,   0.0078
        13.2085,   4.6778,   0.1493,   0.9985,  -0.0018
        13.2120,   4.6780,   0.1420,   1.0019,   0.0009
        13.2155,   4.6792,   0.1373,   1.0010,   0.0059
        13.2190,   4.6783,   0.1541,   0.9942,   0.0039
        13.2225,   4.6833,   0.1475,   0.9964,   0.0057
        13.2260,   4.6839,   0.1462,   0.9912,   0.0011
        13.2295,   4.6774,   0.1524,   1.0054,  -0.0032
        13.2330,   4.6874,   0.1539,   0.9978,   0.0010
        13.2365,   4.6673,   0.1474,   0.9981,   0.0029
        13.2400,   4.6762,   0.1554,   1.0021,   0.0038
        13.2435,   4.6707,   0.1496,   0.9953,   0.0080
        13.2470,   4.6651,   0.1554,   0.9940,   0.0068
        13.2505,   4.6791,   0.1616,   0.9984,   0.0066
        13.2540,   4.6869,   0.1548,   1.0031,   0.0007
        13.2575,   4.6714,   0.1559,   0.9955,   0.0017
        13.2610,   4.6557,   0.1573,   0.9913,   0.0069
        13.2645,   4.6800,   0.1525,   0.9976,  -0.0039
        13.2680,   4.6676,   0.1484,   0.9958,   0.0011
        13.2715,   4.6894,   0.1694,   1.0058,   0.0046
        13.2750,   4.6710,   0.1226,   0.9899,  -0.0180
        13.2785,   4.6824,   0.1620,   0.9998,   0.0103
        13.2820,   4.6729,   0.1528,   0.9978,  -0.0002
        13.2855,   4.6682,   0.1504,   1.0025,  -0.0004
        13.2890,   4.6723,   0.1444,   0.9993,  -0.0106
        13.2925,   4.6826,   0.1476,   1.0021,  -0.0016
        13.2960,   4.6720,   0.1561,   0.9943,   0.0052
        13.2995,   4.6760,   0.1569,   0.9910,   0.0025
        13.3030,   4.6586,   0.1631,   0.9908,  -0.0007
        13.3065,   4.6787,   0.1498,   1.0049,  -0.0008
        13.3100,   4.6750,   0.1600,   1.0006,   0.0021
        13.3135,   4.6745,   0.1474,   0.9996,  -0.0104
        13.3170,   4.6781,   0.1497,   0.9992,  -0.0029
        13.3205,   4.6764,   0.1574,   0.9977,   0.0021
        13.3240,   4.6776,   0.1496,   1.0017,  -0.0005
        13.3275,   4.6734,   0.1491,   1.0000,  -0.0004
        13.3310,   4.6807,   0.1563,   1.0037,   0.0028
        13.3345,   4.6830,   0.1506,   1.0018,  -0.0035
        13.3380,   4.6800,   0.1387,   0.9996,  -0.0014
        13.3415,   4.6733,   0.1476,   0.9959,   0.0030
        13.3450,   4.6888,   0.1561,   1.0067,   0.0030
        13.3485,   4.6869,   0.1493,   1.0049,  -0.0044
        13.3520,   4.6742,   0.1483,   0.9947,  -0.0005
        13.3555,   4.6835,   0.1528,   1.0054,   0.0086
        13.3590,   4.6702,   0.1530,   0.9951,  -0.0010
        13.3625,   4.6750,   0.1443,   0.9975,  -0.0057
        13.3660,   4.6794,   0.1431,   0.9996,  -0.0043
        13.3695,   4.6826,   0.1433,   1.0045,  -0.0016
        13.3730,   4.6802,   0.1541,   0.9987,   0.0067
        13.3765,   4.6717,   0.1507,   0.9926,  -0.0029
        13.3800,   4.6724,   0.1520,   1.0021,   0.0007
        13.3835,   4.6782,   0.1489,   0.9929,   0.0053
        13.3870,   4.6749,   0.1561,   0.9962,   0.0063
        13.3905,   4.6736,   0.1467,   0.9943,   0.0023
        13.3940,   4.6725,   0.1440,   0.9982,  -0.0047
        13.3975,   4.6745,   0.1559,   1.0051,   0.0037
        13.4010,   4.6756,   0.1473,   0.9953,  -0.0005
        13.4045,   4.6779,   0.1374,   0.9939,  -0.0031
        13.4080,   4.6800,   0.1539,   0.9988,  -0.0007
        13.4115,   4.6848,   0.1583,   1.0027,  -0.0020
        13.4150,   4.6749,   0.1538,   1.0004,  -0.0024
        13.4185,   4.6725,   0.1547,   0.9999,  -0.0050
        13.4220,   4.6791,   0.1529,   1.0018,  -0.0032
        13.4255,   4.6759,   0.1552,   1.0030,  -0.0003
        13.4290,   4.6677,   0.1421,   0.9957,  -0.0103
        13.4325,   4.6661,   0.1546,   0.9973,   0.0046
        13.4360,   4.6738,   0.1594,   1.0021,   0.0017
        13.4395,   4.6805,   0.1472,   0.9979,  -0.0130
        13.4430,   4.6756,   0.1577,   0.9993,   0.0031
        13.4465,   4.6730,   0.1623,   1.0027,   0.0030
        13.4500,   4.6880,   0.1583,   1.0098,  -0.0038
        13.4535,   4.6660,   0.1585,   0.9980,   0.0019
        13.4570,   4.6740,   0.1541,   1.0032,  -0.0015
        13.4605,   4.6866,   0.1466,   1.0049,  -0.0006
        13.4640,   4.6673,   0.1549,   0.9960,   0.0024
        13.4675,   4.6830,   0.1534,   1.0029,  -0.0033
        13.4710,   4.6872,   0.1559,   1.0020,  -0.0003
        13.4745,   4.6692,   0.1398,   0.9951,  -0.0064
        13.4780,   4.6861,   0.1504,   1.0058,  -0.0013
        13.4815,   4.6746,   0.1472,   0.9992,  -0.0021
        13.4850,   4.6711,   0.1340,   0.9958,  -0.0050
        13.4885,   4.6779,   0.1481,   0.9997,  -0.0058
        13.4920,   4.6767,   0.1515,   0.9972,  -0.0044
        13.4955,   4.6775,   0.1465,   0.9991,  -0.0062
        13.4990,   4.6687,   0.1569,   0.9959,   0.0028
        13.5025,   4.6766,   0.1485,   0.9999,   0.0014
        13.5060,   4.6783,   0.1527,   1.0031,  -0.0022
        13.5095,   4.6681,   0.1435,   0.9935,  -0.0034
        13.5130,   4.6722,   0.1568,   0.9984,   0.0058
        13.5165,   4.6765,   0.1517,   0.9992,   0.0028
        13.5200,   4.6757,   0.1569,   0.9981,   0.0068
        13.5235,   4.6754,   0.1461,   0.9992,  -0.0059
        13.5270,   4.6633,   0.1394,   0.9912,  -0.0067
        13.5305,   4.6620,   0.1570,   0.9910,   0.0015
        13.5340,   4.6695,   0.1511,   0.9975,  -0.0000
        13.5375,   4.6697,   0.1453,   0.9978,  -0.0074
        13.5410,   4.6782,   0.1574,   1.0000,   0.0052
        13.5445,   4.6742,   0.1576,   0.9977,   0.0054
        13.5480,   4.6798,   0.1467,   1.0017,  -0.0049
        13.5515,   4.6681,   0.1389,   0.9937,  -0.0141
        13.5550,   4.6696,   0.1597,   0.9988,   0.0074
        13.5585,   4.6678,   0.1584,   0.9964,   0.0012
        13.5620,   4.6708,   0.1516,   0.9991,   0.0017
        13.5655,   4.6707,   0.1496,   1.0012,  -0.0017
        13.5690,   4.6747,   0.1542,   0.9994,   0.0018
        13.5725,   4.6756,   0.1493,   1.0004,   0.0004
        13.5760,   4.6721,   0.1519,   0.9978,  -0.0024
        13.5795,   4.6670,   0.1556,   0.9981,  -0.0009
        13.5830,   4.6651,   0.1659,   0.9986,   0.0008
        13.5865,   4.6772,   0.1498,   1.0030,  -0.0076
        13.5900,   4.6765,   0.1649,   1.0056,   0.0044
        13.5935,   4.6710,   0.1514,   0.9993,   0.0028
        13.5970,   4.6757,   0.1579,   1.0013,  -0.0015
        13.6005,   4.6789,   0.1614,   1.0045,  -0.0012
        13.6040,   4.6866,   0.1572,   1.0058,  -0.0005
        13.6075,   4.6653,   0.1548,   1.0000,  -0.0044
        13.6110,   4.6761,   0.1628,   1.0034,   0.0008
        13.6145,   4.6721,   0.1451,   0.9997,  -0.0034
        13.6180,   4.6708,   0.1667,   0.9977,   0.0058
        13.6215,   4.6605,   0.1607,   0.9956,  -0.0054
        13.6250,   4.6750,   0.1493,   1.0000,  -0.0004
        13.6285,   4.6647,   0.1479,   0.9977,  -0.0033
        13.6320,   4.6770,   0.1524,   0.9956,   0.0035
        13.6355,   4.6785,   0.1514,   1.0023,  -0.0030
        13.6390,   4.6687,   0.1484,   0.9981,   0.0012
        13.6425,   4.6711,   0.1646,   1.0023,   0.0032
        13.6460,   4.6797,   0.1491,   1.0007,  -0.0016
        13.6495,   4.6750,   0.1575,   0.9960,  -0.0035
        13.6530,   4.6631,   0.1605,   0.9965,   0.0025
        13.6565,   4.6726,   0.1491,   0.9943,  -0.0005
        13.6600,   4.6820,   0.1542,   0.9965,   0.0010
        13.6635,   4.6673,   0.1502,   0.9982,  -0.0061
        13.6670,   4.6839,   0.1596,   0.9998,   0.0074
        13.6705,   4.6841,   0.1549,   1.0020,  -0.0065
        13.6740,   4.6766,   0.1450,   1.0019,  -0.0046
        13.6775,   4.6712,   0.1667,   0.9961,   0.0036
        13.6810,   4.6846,   0.1526,   0.9986,  -0.0012
        13.6845,   4.6582,   0.1617,   0.9947,   0.0060
        13.6880,   4.6910,   0.1513,   1.0078,   0.0000
        13.6915,   4.6748,   0.1555,   0.9960,   0.0028
        13.6950,   4.6679,   0.1458,   1.0006,  -0.0112
        13.6985,   4.6759,   0.1663,   0.9991,   0.0026
        13.7020,   4.6750,   0.1615,   1.0006,   0.0053
        13.7055,   4.6738,   0.1667,   0.9989,   0.0040
        13.7090,   4.6792,   0.1541,   1.0002,  -0.0063
        13.7125,   4.6800,   0.1537,   0.9942,   0.0020
        13.7160,   4.6767,   0.1643,   0.9933,  -0.0027
        13.7195,   4.6632,   0.1540,   0.9945,  -0.0070
        13.7230,   4.6763,   0.1603,   0.9973,  -0.0022
        13.7265,   4.6746,   0.1478,   1.0044,  -0.0037
        13.7300,   4.6789,   0.1501,   0.9972,  -0.0037
        13.7335,   4.6809,   0.1608,   0.9977,  -0.0032
        13.7370,   4.6724,   0.1488,   1.0054,   0.0066
        13.7405,   4.6761,   0.1561,   1.0069,  -0.0032
        13.7440,   4.6719,   0.1531,   0.9939,   0.0059
        13.7475,   4.6802,   0.1521,   0.9986,   0.0025
        13.7510,   4.6815,   0.1632,   1.0010,   0.0034
        13.7545,   4.6715,   0.1673,   0.9979,   0.0060
        13.7580,   4.6775,   0.1419,   0.9937,  -0.0065
        13.7615,   4.6685,   0.1537,   0.9993,   0.0021
        13.7650,   4.6763,   0.1557,   1.0041,  -0.0024
        13.7685,   4.6670,   0.1521,   0.9950,  -0.0036
        13.7720,   4.6891,   0.1556,   1.0082,  -0.0028
        13.7755,   4.6700,   0.1623,   0.9961,  -0.0008
        13.7790,   4.6706,   0.1641,   0.9951,   0.0017
        13.7825,   4.6772,   0.1620,   0.9989,  -0.0062
        13.7860,   4.6834,   0.1712,   0.9992,   0.0026
        13.7895,   4.6662,   0.1663,   0.9953,   0.0040
        13.7930,   4.6793,   0.1595,   0.9954,  -0.0045
        13.7965,   4.6792,   0.1488,   1.0042,   0.0014
        13.8000,   4.6815,   0.1572,   0.9936,  -0.0015
        13.8035,   4.6798,   0.1519,   1.0015,  -0.0045
        13.8070,   4.6857,   0.1692,   0.9928,  -0.0025
        13.8105,   4.6647,   0.1573,   0.9984,   0.0048
        13.8140,   4.6829,   0.1505,   0.9953,   0.0029
        13.8175,   4.6795,   0.1613,   1.0039,   0.0050
        13.8210,   4.6764,   0.1520,   0.9950,  -0.0020
        13.8245,   4.6827,   0.1557,   0.9900,   0.0002
        13.8280,   4.6684,   0.1555,   0.9965,   0.0105
        13.8315,   4.6770,   0.1508,   0.9893,   0.0020
        13.8350,   4.6713,   0.1686,   1.0081,   0.0027
        13.8385,   4.6731,   0.1604,   0.9956,  -0.0037
        13.8420,   4.6641,   0.1509,   0.9915,   0.0015
        13.8455,   4.6664,   0.1464,   0.9970,  -0.0069
        13.8490,   4.6731,   0.1567,   1.0023,  -0.0052
        13.8525,   4.6692,   0.1626,   0.9949,  -0.0002
        13.8560,   4.6620,   0.1488,   0.9944,  -0.0047
        13.8595,   4.7017,   0.1714,   1.0042,  -0.0035
        13.8630,   4.6792,   0.1578,   0.9921,  -0.0040
        13.8665,   4.6634,   0.1517,   0.9984,  -0.0035
        13.8700,   4.6637,   0.1554,   0.9981,  -0.0010
        13.8735,   4.6801,   0.1673,   1.0034,  -0.0006
        13.8770,   4.6576,   0.1745,   0.9987,  -0.0009
        13.8805,   4.6718,   0.1644,   1.0018,   0.0055
        13.8840,   4.6557,   0.1724,   0.9954,  -0.0000
        13.8875,   4.6777,   0.1663,   1.0037,  -0.0022
        13.8910,   4.6816,   0.1610,   0.9977,  -0.0025
        13.8945,   4.6651,   0.1776,   0.9931,  -0.0036
        13.8980,   4.6753,   0.1498,   0.9975,  -0.0033
        13.9015,   4.6704,   0.1665,   1.0051,  -0.0058
        13.9050,   4.6843,   0.1515,   0.9885,   0.0029
        13.9085,   4.6734,   0.1627,   0.9994,   0.0016
        13.9120,   4.6703,   0.1583,   1.0047,  -0.0022
        13.9155,   4.6732,   0.1619,   0.9987,  -0.0047
        13.9190,   4.6758,   0.1562,   0.9909,  -0.0010
        13.9225,   4.6604,   0.1603,   0.9973,   0.0018
        13.9260,   4.6676,   0.1518,   0.9979,  -0.0019
        13.9295,   4.6726,   0.1471,   0.9917,  -0.0079
        13.9330,   4.6578,   0.1591,   0.9966,   0.0086
        13.9365,   4.6784,   0.1692,   0.9984,   0.0019
        13.9400,   4.6853,   0.1558,   0.9982,  -0.0051
